C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_161.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_161.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_161.jpg,0,0,0,3.63981
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_230.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_230.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_230.jpg,0,0,0,3.610566
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_297.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_297.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_297.jpg,0,0,0,3.588788
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_365.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_365.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_365.jpg,0,0,0,3.567141
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_434.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_434.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_434.jpg,0,0.084663,0,3.564394
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_506.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_506.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_506.jpg,0,0.2524956,0,3.682015
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_574.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_574.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_574.jpg,-0.1,0.5049408,0,4.046841
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_646.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_646.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_646.jpg,-0.25,0.6687681,0,4.455237
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_718.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_718.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_718.jpg,-0.45,0.9162046,0,5.189781
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_791.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_791.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_791.jpg,0,1,0,6.074556
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_858.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_858.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_858.jpg,0,1,0,6.76177
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_924.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_924.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_924.jpg,0,1,0,7.446507
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_34_991.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_34_991.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_34_991.jpg,-0.1,1,0,8.351362
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_063.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_063.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_063.jpg,-0.25,1,0,9.012655
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_131.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_131.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_131.jpg,-0.45,1,0,9.863776
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_199.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_199.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_199.jpg,-0.6000001,1,0,10.4776
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_275.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_275.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_275.jpg,0,1,0,11.28416
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_342.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_342.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_342.jpg,0,1,0,12.0523
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_410.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_410.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_410.jpg,-0.1,1,0,12.89596
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_478.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_478.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_478.jpg,-0.25,1,0,13.35367
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_544.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_544.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_544.jpg,-0.4,1,0,14.16269
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_616.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_616.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_616.jpg,-0.6000001,1,0,14.85251
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_686.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_686.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_686.jpg,-0.7500002,1,0,15.2855
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_760.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_760.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_760.jpg,0,1,0,16.0298
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_835.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_835.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_835.jpg,0,1,0,16.82115
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_903.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_903.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_903.jpg,-0.05,1,0,17.55484
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_35_973.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_35_973.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_35_973.jpg,-0.25,1,0,18.37547
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_36_047.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_36_047.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_36_047.jpg,-0.4,1,0,18.79012
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_36_121.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_36_121.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_36_121.jpg,0,1,0,19.52164
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_36_196.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_36_196.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_36_196.jpg,0,1,0,20.31553
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_36_264.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_36_264.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_36_264.jpg,0,1,0,21.00428
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_36_332.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_36_332.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_36_332.jpg,-0.05,1,0,21.78973
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_36_403.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_36_403.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_36_403.jpg,-0.2,1,0,22.33088
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_36_476.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_36_476.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_36_476.jpg,-0.4,1,0,23.0564
C:\minor\How_to_simulate_a_self_driving_car-master\IMG\center_2021_11_18_21_56_36_553.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\left_2021_11_18_21_56_36_553.jpg,C:\minor\How_to_simulate_a_self_driving_car-master\IMG\right_2021_11_18_21_56_36_553.jpg,-0.6000001,1,0,23.69681
